Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop MSI Prestige 14 AI Studio C1VEG-056VN ,32990000.0,NVIDIA GeForce RTX 4050,Intel Core Ultra 7 155H,32.0,1000.0,14.0
 Laptop MSI Katana 15 B13VFK-676VN ,27990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13620H,16.0,1000.0,15.6
 Laptop MSI Gaming Thin GF63 12VE-454VN ,18990000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop MSI Gaming Thin 15 B13UC-2081VN ,18490000.0,NVIDIA GeForce RTX 3050,Intel Core i5 13420H,16.0,512.0,15.6
 Laptop MSI Modern 15 B12MO-487VN ,14990000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,16.0,512.0,15.6
 Laptop MSI Cyborg 15 A12UCX-618VN ,16290000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop MSI Gaming GF63 THIN 12UC-1006VN  ,16990000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop MSI Gaming GF63 Thin 11UC-1228VN ,16990000.0,NVIDIA GeForce RTX 3050,Intel Core i7 11800H,8.0,512.0,15.6
 Laptop MSI Modern 14 C7M-221VN ,10490000.0,AMD Radeon Graphics,AMD Ryzen R7 7730U,8.0,512.0,14.0
 Laptop MSI Modern 15 B7M-238VN ,12990000.0,AMD Radeon Graphics,AMD Ryzen 7 7730U,16.0,512.0,15.6
 Laptop ASUS VivoBook Go 14 E1404FA-NK177W ,12390000.0,AMD Radeon Graphics,AMD Ryzen 5 7520U,16.0,512.0,14.0
 Laptop MSI Gaming GF63 12VE-460VN ,17990000.0,NVIDIA GeForce RTX 4050,Intel Core i5 Alder Lake 12450H,8.0,512.0,15.6
 Laptop MSI Modern 14 C13M-607VN ,14990000.0,INTEL Iris Xe Graphics,Intel Core I7 1355U,16.0,512.0,14.0
 Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN ,15990000.0,INTEL UHD Graphics,Intel Core i5 12450H,16.0,512.0,14.0
 Laptop MSI Gaming Thin 15 B12UCX-1419VN ,15490000.0,NVIDIA GeForce RTX 2050,Intel Core Alder Lake i5 12450H,8.0,512.0,15.6
 Laptop HP 14-EP0112TU 8C5L1PA ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,14.0
 Laptop HP Pavilion 15-EG3112TU 8U6L9PA ,22190000.0,INTEL Iris Xe Graphics,Intel Core i7 1335U,16.0,512.0,15.6
 Laptop HP Envy X360 15M-ES1013  ,17990000.0,INTEL Iris Xe Graphics,Intel Core i5 1155G,8.0,256.0,15.6
 Laptop HP Pavilion 15-EG0072TU 2P1N3PA  ,21390000.0,INTEL Iris Xe Graphics,Intel Core i7 1165G,8.0,512.0,15.6
 Laptop HP 14-DQ2055WM 39K15UA - Nhập khẩu chính hãng ,10490000.0,INTEL UHD Graphics,Intel Core i3 1115G,4.0,256.0,14.0
 Laptop HP Pavilion 14-DV2073TU 7C0P2PA ,17690000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,14.0
 Laptop HP Pavilion 15-EG3095TU 8C5L6PA ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,8.0,512.0,15.6
 Laptop HP Pavilion 15-EG3093TU 8C5L4PA ,18490000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,15.6
 Laptop HP 15 250 G8 85C69EA ,10990000.0,INTEL Iris Xe Graphics,Intel Core i5 1135G,8.0,256.0,15.6
 Laptop HP Elitebook 630 G9 6M142PA ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,8.0,256.0,13.3
 Laptop HP Pavilion 15-EG2089TU 7C0R1PA ,18990000.0,INTEL Iris Xe Graphics,Intel Core i7 1260P,8.0,512.0,15.6
 Laptop HP Pavilion 15-EG2088TU 7C0R0PA ,19490000.0,INTEL Iris Xe Graphics,Intel Core i7 1260P,16.0,512.0,15.6
 Laptop HP 240 G9 9E5W3PT ,14490000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,8.0,512.0,14.0
 Laptop HP Pavilion 15-EG2083TU 7C0W9PA ,15990000.0,INTEL Iris Xe Graphics,Intel Core i5 1240P,8.0,512.0,15.6
 Laptop HP Gaming Victus 15-FB1023AX 94F20PA ,18590000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
 Laptop HP 15-FD0237TU 9Q972PA ,15990000.0,INTEL Iris Xe Graphics,Intel Core i5 1334U,8.0,512.0,15.6
 Laptop HP Pavilion 15-EG3111TU 8U6L8PA ,17490000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,15.6
 Laptop Acer Asprie 5 A514-56P-55K5 ,15790000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,14.0
 Laptop Acer Aspire 5 A515-58P-56RP ,15990000.0,INTEL UHD Graphics,Intel Core i5 1335U,16.0,512.0,15.6
 Laptop Acer Gaming Aspire 7 A715-76-728X ,19590000.0,INTEL UHD Graphics,Intel Core i7 12650H,16.0,512.0,15.6
 Laptop Acer Swift Lite 14 AI SFL14-51M-78XZ ,22990000.0,INTEL Graphics,Intel Core Ultra 7 155U,16.0,512.0,14.0
 Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R6ZY ,25990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 8645HS,16.0,512.0,16.0
 Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R6NA ,32990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 8845HS,16.0,512.0,16.0
 Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002 ,17990000.0,INTEL Iris Xe Graphics,Intel Core i5 1240P,16.0,512.0,14.0
 Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R36Y ,29990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,16.0,512.0,16.0
 Laptop Acer Aspire 3 A315-58-382Z NX.ADDSV.00K ,9990000.0,INTEL UHD Graphics,Intel Core i3 1115G,8.0,256.0,15.6
 Laptop Gaming Acer Nitro 5 AN515 58 52SP ,18990000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12500H,8.0,512.0,15.6
 Laptop Acer Swift Go 14 AI SFG14-73-71ZX NX.KSLSV.002  ,25750000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop Gaming Acer Nitro V ANV15-51-72VS NH.QNASV.004 ,24490000.0,NVIDIA GeForce RTX 2050,Intel Core i7 13620H,16.0,512.0,15.6
 Laptop Gaming Acer Nitro V ANV15-51-57B2 ,23690000.0,NVIDIA GeForce RTX 4050,Intel Core i5 13420H,8.0,512.0,15.6
 Laptop Acer Aspire 5 A515-58GM-59LJ ,15990000.0,NVIDIA GeForce RTX 2050,Intel Core i5 13420H,8.0,512.0,15.6
 Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7AP ,20990000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 5 7535HS,16.0,512.0,15.6
 Laptop Acer Swift Lite 14 AI SFL14-51M-56HS ,18190000.0,INTEL Graphics,Intel Core Ultra 5 125U,16.0,512.0,14.0
 Laptop Gaming Acer Nitro V ANV15-51-55CA ,24490000.0,NVIDIA GeForce RTX 4050,Intel Core i5 13420H,16.0,512.0,15.6
 Laptop Acer Aspire Lite 16 AL16-51P-72S2 ,15490000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,16.0,512.0,16.0
 Laptop Gaming Acer Nitro V ANV15-51-75GS ,28990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13620H,16.0,512.0,15.6
 Laptop Acer Swift Go 14 AI SFG14-73-53X7 NX.KSLSV.001 ,22790000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,512.0,14.0
 Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001 ,13490000.0,INTEL HD Graphics,Intel Core i5 1235U,16.0,512.0,16.0
 Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-78JH ,16990000.0,INTEL Iris Xe Graphics,Intel Core i7 1355U,16.0,512.0,14.0
 Laptop Acer Gaming Aspire 5 A515-58GM-53PZ ,15490000.0,NVIDIA GeForce RTX 2050,Intel Core i5 13420H,8.0,512.0,15.6
 Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X ,14990000.0,INTEL Iris Xe Graphics,Intel Core i5 1335U,16.0,512.0,14.0
 Laptop Acer gaming Aspire 7 A715-76G-73FM ,17790000.0,NVIDIA GeForce RTX 2050,Intel Core i7 1265,16.0,512.0,15.6
 Laptop Gaming Acer Nitro V ANV15-51-58AN ,16990000.0,NVIDIA GeForce RTX 2050,Intel Core i5 13420H,8.0,512.0,15.6
 Laptop Gaming Acer Nitro 5 Tiger AN515 58 773Y ,22990000.0,NVIDIA GeForce RTX 3050,Intel Core i7 12700H,16.0,512.0,15.6
 Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005 ,9990000.0,INTEL Iris Xe Graphics,Intel Core i5 1135G,8.0,256.0,15.6
 Laptop Gaming Acer Nitro 5 AN515-58-5193 ,21790000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop Acer Aspire 7 A715-76G-59MW ,15690000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop Acer Gaming Aspire 7 A715-76-53PJ ,14690000.0,INTEL UHD Graphics,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z ,9490000.0,INTEL UHD Graphics,Intel Core i3 N305,8.0,512.0,14.0
 Laptop Acer Aspire 3 A315-59-381E ,9490000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,15.6
 Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP ,18990000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12500H,8.0,512.0,15.6
 Laptop Acer Aspire 7 A715-76G-5806 ,18490000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12450H,16.0,512.0,15.6
 Laptop LG GRAM 2023 14ZD90R-G.AX52A5 ,19990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,8.0,256.0,14.0
 Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001 ,11990000.0,AMD Radeon Graphics,AMD Ryzen 7 5700U,16.0,512.0,14.0
 Laptop LG Gram 2024 Pro 16Z90SP-K.AH75A5 ,50900000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,16.0
 Laptop LG Gram 2024 Super Slim 15Z90ST-G.AH75A5 ,46000000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,15.6
 Laptop LG Gram 2024 2in1 14T90S-G.AH55A5 ,43500000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,512.0,14.0
 Laptop LG Gram 2024 16Z90S-G.AH76A5 ,44990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,16.0
 Laptop LG Gram 2024 14Z90S-G.AH75A5 ,39990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,512.0,14.0
 Laptop LG Gram 2023 16Z90R-E.AH75A5 ,36990000.0,NVIDIA GeForce RTX 3050,Intel Core i7 1360P,16.0,512.0,16.0
 Laptop LG Gram 2023 16Z90R-G.AH76A5 ,32990000.0,INTEL Iris Xe Graphics,Intel Core i7 1360P,16.0,512.0,16.0
 Laptop LG Gram 2023 16ZD90R-G.AX55A5 ,28990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,512.0,16.0
 Laptop LG Gram 2023 17Z90R-G.AH78A5 ,38990000.0,INTEL Iris Xe Graphics,Intel Core i7 1360P,16.0,1000.0,17.0
 Laptop LG Gram 2023 15Z90RT-G.AH55A5 ,31990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,512.0,15.6
 Laptop LG Gram 2024 14Z90S-G.AH55A5 ,34990000.0,INTEL Arc Graphics,Intel Core Ultra 5 125H,16.0,512.0,14.0
 Laptop LG Gram 2024 17Z90S-G.AH78A5 ,47990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,1000.0,17.0
 Laptop LG GRAM 2023 16Z90RS-G.AH54A5  ,33990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,512.0,16.0
 Laptop LG Gram 2023 14Z90R-G.AH53A5 ,21990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,256.0,14.0
 Laptop Dell Latidude 7320 9PPWV ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1145G,16.0,256.0,13.3
 Laptop Dell Inspiron 3511 P112F001ABL ,10490000.0,INTEL UHD Graphics,Intel Core i3 1115G,4.0,256.0,15.6
 Laptop Dell Inspiron 15 3520 WTPRT ,12990000.0,INTEL UHD Graphics,Intel Core i5 1135G,8.0,256.0,15.6
 Laptop Dell Vostro 3520 ,18490000.0,NVIDIA GeForce MX 550,Intel Core i7 1255U,8.0,512.0,15.6
 Laptop Dell Inspiron 15 3525 4R52X ,12290000.0,AMD Radeon Graphics,AMD Ryzen 5 5500U,8.0,512.0,15.6
 Laptop Dell Inspiron 15 3520 W15KT ,12190000.0,INTEL UHD Graphics,Intel Core i5 1135G,8.0,256.0,15.6
 Laptop Dell Vostro 3520 F0V0V ,12590000.0,INTEL Iris Xe,Intel Core i5 1235U,8.0,512.0,15.6
 Laptop Dell Inspiron 15 3530 P16WD ,21990000.0,INTEL Iris Xe Graphics,Intel Core i7 1355U,16.0,1000.0,15.6
 Laptop Dell Inspiron 15 3520 71045026 ,16490000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop Dell Latitude 5550 71047019 ,31490000.0,INTEL UHD Graphics,Intel Core Ultra 7 165U,16.0,512.0,15.6
 Laptop Dell Inspiron 15 3520 8D10NK ,16490000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop Dell Latitude 3540 71038100 ,16990000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop Dell Inspiron 15 3530 N5I5407W1 ,18090000.0,INTEL Graphics,Intel Core i5 1334U,16.0,512.0,15.6
 Laptop Dell Inspiron 15 3520 YTC9K ,12590000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,8.0,256.0,15.6
 Laptop Dell Inspiron 15 3520 6HD73 ,17990000.0,INTEL Iris Xe Graphics,Intel Core i7 1255U,16.0,512.0,15.6
 Laptop Dell Vostro 3520 F0V0V256 - Nhập khẩu chính hãng ,12490000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,8.0,256.0,15.6
 Laptop Dell Inspiron 15 3520 6R6NK - Nhập khẩu chính hãng ,13490000.0,INTEL UHD Graphics,Intel Core i5 1235U,8.0,512.0,15.6
 Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng ,9690000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,15.6
 Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 - Nhập khẩu chính hãng ,13990000.0,INTEL UHD Graphics,Intel Core i5 1235U,8.0,512.0,15.6
 Laptop Dell Inspiron 15 3520 ,16490000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,16.0,512.0,15.6
 Laptop Gigabyte MF F2VN333SH ,19490000.0,NVIDIA GeForce RTX 4050,Intel Core i5 12450H,8.0,512.0,15.6
 Laptop Gigabyte G6 MF-H2VN854KH ,24990000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13620H,16.0,1000.0,16.0
 Laptop Gigabyte G5 MF5-52VN383SH ,20990000.0,NVIDIA GeForce RTX 4050,Intel Core i5 13500H,8.0,512.0,15.6
 Laptop LG Gram 2023 14Z90RS-G.AH54A5 ,27990000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,512.0,14.0
 Laptop Huawei Matebook D15  ,10990000.0,AMD Radeon Graphics,AMD Ryzen 7 5700U,8.0,512.0,15.6
 Laptop HP 15S-FQ5231TU 8U241PA ,10490000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,256.0,15.6
 Laptop Gaming Acer Nitro 5 Tiger AN515-58-50D2 ,22990000.0,NVIDIA GeForce RTX 3060,Intel Core i5 12500H,16.0,512.0,15.6
 Laptop Gigabyte G5 KF5-53VN353SH ,23990000.0,NVIDIA GeForce RTX 4060,Intel Core i5 13500H,16.0,512.0,15.6
 Laptop Vaio FE 14 VWNC51427-BL ,13990000.0,INTEL Iris Xe Graphics,Intel Core i5 1235U,8.0,512.0,14.1
 Laptop Gigabyte G5 KF-E3PH333SH ,21990000.0,NVIDIA GeForce RTX 4060,Intel Core i5 12500H,8.0,512.0,15.6
 Laptop Masstel E140 Celeron ,3590000.0,INTEL UHD Graphics,Intel Celeron N4120,4.0,128.0,14.0
 Laptop Dell Inspiron 15 3520-5810BLK 102F0 ,12990000.0,INTEL Iris Xe Graphics,Intel Core i5 1155G,8.0,256.0,15.6
 MacBook Air M3 15 inch 2024 24GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam ,47990000.0,,Apple M3,24.0,512.0,15.3
 MacBook Pro 14 inch M2 Max 64GB 2023 (12 CPU - 30 GPU - 64GB - 1TB)  ,88990000.0,,Apple M2 Max,64.0,1000.0,14.2
 MacBook Pro 16 M3 Max 128GB - 8TB 2023 | Chính hãng Apple Việt Nam ,182490000.0,,Apple M3 Max,128.0,8000.0,16.2
 MacBook Air 15 inch M3 16GB - 1TB 2024 Sạc 70W | Chính hãng Apple Việt Nam ,47990000.0,,Apple M3,16.0,1000.0,15.3
 MacBook Pro 14 M3 Pro 2023 (11 CPU - 14 GPU 36GB 1TB) Sạc 70W | Chính hãng Apple Việt Nam ,64990000.0,,Apple M3 Pro,36.0,1000.0,14.2
 MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam ,27990000.0,,Apple M3,8.0,256.0,13.6
 MacBook Air M3 13 inch 2024 8CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam ,37990000.0,,Apple M3,16.0,512.0,13.6
 MacBook Pro 14 M3 Pro 128GB - 8TB | Chính hãng Apple Việt Nam ,194990000.0,,Apple M3 Pro,128.0,8000.0,14.2
 MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam ,42990000.0,,Apple M3,16.0,512.0,15.3
 MacBook Pro 16 inch M2 Max 64GB 2023 (12CPU - 38 GPU - 64GB - 1TB) ,105990000.0,,Apple M2 Max,64.0,1000.0,16.0
 MacBook Pro 14 M3 Pro 36GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam ,59490000.0,,Apple M3 Pro,36.0,512.0,14.2
 MacBook Air M2 2022 16GB 512GB Sạc 35W I Chính hãng Apple Việt Nam ,33590000.0,,Apple M2,16.0,512.0,13.6
 MacBook Pro 16 inch M3 Pro 2023 36GB 1TB | Chính hãng Apple Việt Nam ,78990000.0,,Apple M3 Pro,36.0,1000.0,16.2
 MacBook Pro 14 inch M3 Max 96GB - 512GB Sạc 96W | Chính hãng Apple Việt Nam ,95990000.0,,Apple M3 Max,96.0,512.0,14.2
 MacBook Air M2 2022 16GB 256GB 2022 Sạc 30W I Chính hãng Apple Việt Nam ,28790000.0,,Apple M2,16.0,256.0,13.6
 MacBook Pro 14 inch M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam ,48790000.0,,Apple M3 Pro,18.0,512.0,14.2
 Apple MacBook Pro 13 Touch Bar M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam  ,35990000.0,,Apple M1,16.0,256.0,13.3
 MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) ,45990000.0,,Apple M2 Pro,16.0,512.0,14.2
 Apple MacBook Air M1 512GB 2020 I Chính hãng Apple Việt Nam  ,34990000.0,,Apple M1,8.0,512.0,13.3
 Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam ,27590000.0,,Apple M1,8.0,256.0,13.3
 MacBook Air 15 inch M2 2023 8GB 512GB sạc 70W | Chính hãng Apple Việt Nam ,29890000.0,,Apple M2,8.0,512.0,15.0
 MacBook Pro 14 M3 Pro 2023 36GB - 1TB | Chính hãng Apple Việt Nam ,69990000.0,,Apple M3 Pro,36.0,1000.0,14.2
 Apple MacBook Air M2 2022 16GB 512GB Sạc 70W I Chính hãng Apple Việt Nam ,33590000.0,,Apple M2,16.0,512.0,13.6
 MacBook Pro 14 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam ,77990000.0,,Apple M3 Max,36.0,1000.0,14.2
 MacBook Air 15 inch M2 2023 16GB 512GB sạc 35W | Chính hãng Apple Việt Nam ,38990000.0,,Apple M2,16.0,512.0,15.3
 Macbook Pro 14 M3 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam ,48990000.0,,Apple M3,16.0,1000.0,14.2
 MacBook Air 15 inch M2 2023 8GB 512GB | Chính hãng Apple Việt Nam ,29890000.0,,Apple M2,8.0,512.0,15.0
 MacBook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam ,73490000.0,,Apple M3 Pro,36.0,512.0,16.2
 MacBook Pro 14 M3 8GB - 1TB | Chính hãng Apple Việt Nam ,42990000.0,,Apple M3,8.0,1000.0,14.2
 MacBook Air M3 15 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam ,36290000.0,,Apple M3,8.0,512.0,15.3
 MacBook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam ,87990000.0,,Apple M3 Max,36.0,1000.0,16.2
 MacBook Pro 16 M3 Max 48GB - 1TB | Chính hãng Apple Việt Nam ,101990000.0,,Apple M3 Max,48.0,1000.0,16.2
 MacBook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam ,58690000.0,,Apple M3 Pro,18.0,1000.0,14.2
 MacBook Air M3 15 inch 2024 16GB - 256GB sạc 70W | Chính hãng Apple Việt Nam ,36590000.0,,Apple M3,16.0,256.0,15.6
 MacBook Air M3 15 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam ,41890000.0,,Apple M3,16.0,512.0,15.3
 MacBook Pro 16 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam ,62990000.0,,Apple M3 Pro,18.0,512.0,16.2
 Apple MacBook Air M2 2022 8GB 512GB I Chính hãng Apple Việt Nam ,28990000.0,,Apple M2,8.0,512.0,13.6
 Macbook Pro 14 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam ,59490000.0,,Apple M3 Pro,36.0,512.0,14.2
 MacBook Pro 16 inch M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam ,53990000.0,,Apple M1 Max,32.0,1000.0,16.2
 MacBook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam ,31590000.0,,Apple M3,8.0,256.0,15.3
 MacBook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam ,27490000.0,,Apple M2,8.0,256.0,15.3
 MacBook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam ,27490000.0,,Apple M2,8.0,256.0,15.4
 MacBook Air M3 13 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam ,31490000.0,,Apple M3,8.0,512.0,13.6
 Apple MacBook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam ,33690000.0,,Apple M2,16.0,512.0,13.6
 MacBook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam ,49990000.0,,Apple M3 Pro,18.0,512.0,14.2
 MacBook Air M3 13 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam ,36290000.0,,Apple M3,16.0,512.0,13.6
 MacBook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam ,38090000.0,,Apple M3,8.0,512.0,14.2
 MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB)  ,43790000.0,,Apple M3,16.0,512.0,14.2
 Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam ,28690000.0,,Apple M2,16.0,256.0,13.6
 MacBook Air M3 13 inch 2024 16GB - 256GB sạc 30W | Chính hãng Apple Việt Nam ,31990000.0,,Apple M3,16.0,256.0,13.6
 Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam ,17990000.0,,Apple M1,8.0,256.0,13.3
 Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam ,24490000.0,,Apple M2,8.0,256.0,13.6
 MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam ,27490000.0,,Apple M3,8.0,256.0,13.6
 Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R7EN ,27490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 8845HS,16.0,512.0,16.0
 Laptop MSI Prestige 14 EVO B13M-401VN ,18990000.0,INTEL Iris Xe graphics,Intel Core i5 13500H,16.0,512.0,15.6
 Laptop MSI Modern 15 B7M-231VN ,11990000.0,AMD Radeon Graphics,AMD Ryzen 5 7530U,16.0,512.0,15.6
 Laptop Lenovo Legion Slim 5 16AHP9 83DH003AVN ,39990000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 8845HS,16.0,512.0,16.0
 Laptop Lenovo Yoga Slim 6 14IRH8 83E0000VVN ,24490000.0,INTEL Iris Xe Graphics,Intel Core i7 13700H,16.0,512.0,14.0
 Laptop Lenovo Ideapad Slim 3 14IRH8 83EL0023VN ,17490000.0,INTEL UHD Graphics,Intel Core i7 13620H,16.0,512.0,14.0
 Laptop Lenovo Gaming Legion 5 Pro 16IRX9 83DF0046VN ,51990000.0,NVIDIA GeForce RTX 4070,Intel Core i9 14900HX,32.0,1000.0,16.0
 Laptop Lenovo LOQ 15IRX9 83DV00D5VN ,29690000.0,NVIDIA GeForce RTX 4050,Intel Core i7 13650HX,16.0,512.0,15.6
 Laptop Lenovo ThinkBook 13s G3 ACN 20YA0039VN ,16490000.0,AMD Radeon Graphics,AMD Ryzen 7 5800U,8.0,512.0,13.3
 Laptop Lenovo Yoga 9 2IN1 14IMH9 83AC000SVN ,43990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,16.0,1000.0,14.0
 Laptop Lenovo Gaming Legion 5 Pro 16IRX9 83DF0047VN ,45990000.0,NVIDIA GeForce RTX 4060,Intel Core i9 14900HX,32.0,1000.0,16.0
 Laptop ASUS ROG Strix G16 G614JI-N4125W ,43990000.0,NVIDIA GeForce RTX 4070,Intel Core i7 13650HX,16.0,512.0,16.0
Laptop ACER Swift Go 14 AI SFG14-73-53X7,22790000.0,Intel Arc Graphics,Intel Core Ultra 5125H,16.0,512.0,14.0
Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y,30590000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,16.0,512.0,16.0
Laptop Lenovo Legion 5 15IRX9 - 83JJ000FVN,37990000.0,NVIDIA GeForce RTX 4060,Intel Core i713650HX,24.0,512.0,15.6
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN,52990000.0,NVIDIA GeForce RTX 4070,Intel Core i914900HX,32.0,1024.0,16.0
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004YVN,40990000.0,NVIDIA GeForce RTX 4060,Intel Core i714650HX,16.0,512.0,16.0
