Laptop_name,Price(VND),GPU,CPU,RAM(GB),Storage(GB),Screen_size(inches)
 Laptop Lenovo LOQ 15ARP9 83JC007JVN ,23490000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7235HS,24.0,512.0,15.6
 Laptop Lenovo ThinkBook 14 G6 IRL 21KG00RDVN ,17990000.0,INTEL UHD Graphics,Intel Core i5 13420H,16.0,512.0,14.0
 Laptop Lenovo ThinkPad E14 GEN 5 21JK006BVN ,19790000.0,INTEL Iris Xe,Intel Core i5 1335U,16.0,512.0,14.0
 Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BQVN ,20490000.0,INTEL Iris Xe Graphics,Intel Core i7 1355U,16.0,512.0,14.0
 Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN ,18990000.0,INTEL UHD Graphics,Intel Core i5 13420H,8.0,512.0,16.0
 Laptop Lenovo LOQ 15ARP9 83JC003YVN ,29290000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 7 7435HS,24.0,512.0,15.6
 Laptop Lenovo Yoga Slim 7 14IMH9 83CV001UVN ,29990000.0,INTEL Arc Graphics,Intel Core Ultra 7 155H,32.0,512.0,14.0
 Laptop Lenovo LOQ 15IRX9 83DV00UFVN ,32990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13650HX,24.0,512.0,15.6
 Laptop Lenovo IdeaPad Slim 3 15 ABR8 82XM00EJVN ,12390000.0,AMD Radeon Graphics,AMD Ryzen 5 7430U,16.0,512.0,15.6
 Laptop Lenovo Gaming Legion 5 16IRX9 83DG004YVN ,39990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 14650HX,16.0,512.0,16.0
 Laptop Lenovo V14 G4 IRU 83A000BGVN ,13490000.0,INTEL UHD Graphics,Intel Core i5 13420H,16.0,512.0,14.0
 Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN ,19490000.0,INTEL UHD Graphics,Intel Core i5 13420H,16.0,512.0,14.0
 Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN ,18990000.0,INTEL Graphics,Intel Core 5 120U,32.0,512.0,15.3
 Laptop Lenovo IdeaPad 1 14ALC7 82R30078VN ,10990000.0,AMD Radeon Graphics,AMD Ryzen 5 5500U,8.0,512.0,14.0
 Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN ,13990000.0,INTEL UHD Graphics,Intel Core i5 12450H,16.0,512.0,14.0
 Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN ,11490000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,14.0
 Laptop Lenovo LOQ 15IAX9 83GS001SVN ,19290000.0,NVIDIA GeForce RTX 2050,Intel Core i5 12450HX,12.0,512.0,15.6
 Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN ,17990000.0,INTEL UHD Graphics,Intel Core i5 13420H,16.0,512.0,16.0
 Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0009VN ,15290000.0,INTEL UHD Graphics,Intel Core i5 12450H,16.0,1000.0,14.0
 Laptop Lenovo LOQ 15ARP9 83JC007HVN ,20990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 7235HS,12.0,512.0,15.6
 Laptop Lenovo LOQ 15IAX9 83GS001RVN ,21290000.0,NVIDIA GeForce RTX 3050,Intel Core i5 12450HX,12.0,512.0,15.6
 Laptop ASUS TUF Gaming F15 FX507VV-LP181W  ,29990000.0,NVIDIA GeForce RTX 4060,Intel Core i7 13620H,32.0,512.0,15.6
 Laptop ASUS Vivobook Pro M6500QC-MA002W ,21390000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 5 5600H,16.0,512.0,15.6
 Laptop Asus Flip BR1100FKA-BP1088W ,5690000.0,INTEL UHD Graphics,Intel Celeron N4500,4.0,128.0,11.6
 Laptop ASUS TUF Gaming F15 FX506HF-HN078W ,16990000.0,NVIDIA GeForce RTX 2050,Intel Core i5 11260H,16.0,512.0,15.6
 Laptop ASUS Zenbook 14 Flip OLED UP3404VA-KN039W ,28990000.0,INTEL Iris Xe Graphics,Intel Core i7 1360P,16.0,512.0,14.0
 Laptop ASUS Vivobook 15X OLED M1503QA-L1044W ,16790000.0,AMD Radeon Graphics,AMD Ryzen 7 5800H,8.0,512.0,15.6
 Laptop ASUS TUF Gaming A15 FA506IHRB-HN080W ,15990000.0,NVIDIA GeForce GTX 0165,AMD Ryzen 5 4600H,8.0,512.0,15.6
 Laptop Asus Vivobook 14X A1403ZA-LY153W ,11290000.0,INTEL UHD Graphics,Intel Core i3 1220P,8.0,512.0,14.0
 Laptop Asus Vivobook Flip 14 TP470EA EC346W ,11490000.0,INTEL UHD Graphics,Intel Core i3 1115G,4.0,512.0,14.0
 Laptop ASUS Vivobook Flip S 14 Flip TP3402ZA-LZ159W ,17990000.0,INTEL UHD Graphics,Intel Core i5 12500H,8.0,512.0,14.0
 Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ025W ,11490000.0,INTEL UHD Graphics,Intel Core i3 1315U,8.0,256.0,14.0
 Laptop ASUS TUF Gaming A15 FA507NV-LP110W  ,24490000.0,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7535HS,16.0,512.0,15.6
 Laptop ASUS Zenbook 14 OLED UX3405MA-PP475W  ,33290000.0,INTEL Arc Graphics,Intel Core Ultra 9 185H,32.0,1000.0,14.0
 Laptop ASUS Zenbook DUO UX8406MA-PZ142W  ,58990000.0,INTEL Arc Graphics,Intel Core Ultra 9 185H,32.0,1000.0,14.0
 Laptop ASUS VivoBook 15 OLED A1505VA-L1201W ,21890000.0,INTEL Iris Xe Graphics,Intel Core i9 13900H,16.0,512.0,15.6
 Laptop ASUS VivoBook S 14 Flip TN3402YA-LZ192W ,15990000.0,AMD Radeon Graphics,AMD Ryzen 5 7530U,16.0,512.0,14.0
 Laptop ASUS Vivobook 15 Oled A1505VA L1491W ,20390000.0,INTEL Iris XE Graphics,Intel Core i7 13700H,16.0,512.0,15.6
 Laptop ASUS TUF Gaming A15 FA507NU-LP140W ,22990000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 5 7535HS,8.0,512.0,15.6
 Laptop ASUS ZenBook 14 OLED UX3402VA-KM085W ,22690000.0,INTEL Iris Xe Graphics,Intel Core i5 1340P,16.0,512.0,14.0
 Laptop ASUS Zenbook 14 OLED UM3402YA-KM405W ,20490000.0,AMD Radeon Graphics,AMD Ryzen 5 7530U,16.0,512.0,14.0
 Laptop ASUS Zenbook 14 OLED UX3405MA-PP588W ,25990000.0,INTEL Arc Graphics,Intel Core Ultra 5,16.0,512.0,14.0
 Laptop ASUS TUF Gaming A15 FA507NU-LP131W ,25490000.0,NVIDIA GeForce RTX 4050,AMD Ryzen 5 7535HS,16.0,1000.0,15.6
 Laptop Asus Rog Strix G15 G513RC HN038W ,24990000.0,NVIDIA GeForce RTX 3050,AMD Ryzen 7 6800H,8.0,512.0,15.6
 Laptop ASUS ROG Zephyrus G16 GA605WI-QR090WS ,77990000.0,NVIDIA GeForce RTX 4070,AMD Ryzen AI 9 HX 370 ,32.0,1000.0,16.0
 Laptop ASUS TUF Gaming F15 FX507VI-LP088W ,36990000.0,NVIDIA GeForce RTX 4070,Intel Core i7 13620H,16.0,512.0,15.6
 Laptop ASUS Expertbook B1402CBA-NK1904W ,9490000.0,INTEL UHD Graphics,Intel Core i3 1215U,8.0,512.0,14.0
 Laptop ASUS VivoBook 15 X1504VA-NJ069W ,10690000.0,INTEL UHD Graphics,Intel Core i3 1315U,8.0,512.0,15.6
 Laptop ASUS Vivobook 15 OLED A1505VA-MA469W ,22490000.0,INTEL Iris Xe Graphics,Intel Core i9 13900H,16.0,512.0,15.6
 Laptop ASUS ROG Flow GV601VV-NF044W ,50990000.0,NVIDIA GeForce RTX 4060,Intel Core i9 13900H,16.0,1000.0,16.0
 Laptop ASUS Zenbook S 13 OLED UX5304MA-NQ117W  ,40990000.0,INTEL Iris Xe Graphics,Intel Core Ultra 7 155U,32.0,1000.0,13.3
 Laptop ASUS ExpertBook B1 B1502CVA-NJ0101W ,10490000.0,INTEL UHD Graphics,Intel Core i3 1315U,8.0,256.0,15.6
 Laptop ASUS TUF Gaming A15 FA506NFR-HN006W ,18990000.0,NVIDIA GeForce RTX 2050,AMD Ryzen 7 7435HS,16.0,512.0,15.6
 Laptop ASUS ZenBook S 13 OLED UX5304VA-NQ125W ,32990000.0,INTEL Iris Xe Graphics,Intel Core i7 1355U,16.0,512.0,13.3
 Laptop ASUS ROG Strix G16 G614JIR-N4046W ,51990000.0,NVIDIA GeForce RTX 4070,Intel Core i9 14900HX,32.0,1000.0,16.0
