Product name,Price,,Thương hiệu,Bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Âm thanh,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Đèn LED trên máy,Trong hộp có gì,Series laptop,Tên,Part-number,Màu sắc,Nhu cầu,Chất liệu,Bảo mật,Dung lượng RAM,Dung lượng SSD,Cổng HDMI,Công suất pin,"Kích thước, khối lượng",Mô tả bảo hành
Laptop LG Gram 2024 16Z90S-G.AH76A5 (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/Windows 11),44.490.000₫,,LG,12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,Onboard Intel® Arc™ Graphics,"16"" ( 2560 x 1600 ) WQXGA 16:10 , IPS , không cảm ứng , 400 nits , 99% DCI-P3 , Màn hình chống lóa",FHD webcam,2 x 8GB Onbard LPDDR5x 7467MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",Dolby Atmos,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , có phím số , LED",Windows 11 Home,355.1 x 242.3 x 15.7 mm,"77 Wh , Pin liền",1.2 kg,không đèn,USB-C to RJ45 adapter (B2B option),Gram,Gram 16Z90S-G.AH76A5,G.AH76A5,Xám,Văn phòng,,,,,,,,
Laptop Yoga Slim 7 14IMH9 - 83CV001VVN (Ultra 7 155H) (Xám),30.990.000₫,,Lenovo,24 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA OLED , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,32GB Onbard LPDDR5x Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",Dolby Atmos,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,312 x 221 x 14.9 mm,"65 Wh , Pin liền",1.4 kg,,,Yoga,Yoga Slim 7 14IMH9 - 83CV001VVN,83CV001VVN,Xám,Văn phòng,Vỏ nhôm,Khuôn mặt,,,,,,
Laptop MSI Stealth 16 Mercedes AMG Motorsport A1VGG-293VN (Ultra 9-185H/ RAM 32GB/ GeForce RTX™ 4070/ 2TB SSD/ Windows 11),70.990.000₫,,MSI,24 tháng,"Intel® Core™ Ultra 9-185H ( 3.9 GHz - 5.1 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,"GeForce RTX™ 4070 8GB GDDR6 Intel® Arc™ Graphics ( 2250MHz , 105W","16"" ( 2560 x 1600 ) WQXGA 16:10 , OLED , 240Hz , không cảm ứng , 600 nits , 100% DCI-P3",FHD webcam,2 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),2TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
1 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",,"Wi-Fi 7 BE , Bluetooth 5.4","Bàn phím thường , có phím số , RGB",Windows 11 Home SEA,355.8 x 259.7 x 19.95 mm,"4 cell 65 Wh , Pin liền",2 kg,,"MSI M66 AMG Gaming Mouse, MSI Dual Drive 128GB, Túi cầm tay MSI AMG, Lót chuột MSI AMG, Adapter, dây nguồn,…",Stealth,Stealth 16 Mercedes AMG Motorsport A1VGG-293VN,293VN,Xám,Gaming,,"Vân tay, Khuôn mặt",,,,,,
Laptop HP 15s-fq5228TU - 8U240PA (i3-1215U/ RAM 8GB/ Onboard/ 512GB SSD/ Windows 11),10.790.000₫,,HP,12 tháng,"Intel® Core™ i3-1215U ( 1.2 GHz - 4.4 GHz / 10MB / 6 nhân, 8 luồng ),",,Onboard Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD 250 nits , 45% NTSC",HD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",,"WiFi 802.11ac , Bluetooth","Bàn phím thường , có phím số , không đèn",Windows 11 Home,35.85 x 24.2 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.7 kg,không đèn,,14/15 Series,15s-fq5228TU - 8U240PA,8U240PA,Xanh,Văn phòng,,,,,,,,
MacBook Pro 16 inch M3 Pro 2023 (18GB/512GB SSD),66.390.000₫,,APPLE,12 tháng,Apple M3 Pro ( 12‑Core CPU / 18‑Core GPU ),,,"16"" ( 3456 x 2234 ) | Liquid Retina XDR
FHD webcam",,,,"3 x Thunderbolt 4 , 1 x 3.5 mm , 1 x SDXC Card Slot",,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3",,macOS,,,,,,MacBook Pro,"MacBook Pro 16"" MRW43SA/A",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,18GB,512GB SSD,1 x HDMI,100 Wh,2.2 kg | 35.57 x 24.81 x 1.68 cm,
Laptop gaming GIGABYTE G5 ME (i5-12500H/RAM 8GB/RTX 3050Ti/512GB SSD/ Windows 11),16.990.000₫,,GIGABYTE,24 tháng,"Intel® Core™ i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 3050Ti 4GB GDDR6 Intel® Iris® Xe Graphics ( 1485MHz , 75W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng",HD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x SD card slot
2 x 3.5 mm
1 x HDMI
1 x mini DisplayPort
LAN 1 Gb/s",DTS X:Ultra Audio,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36.0 x 23.8 x 23.9 Cm,"54 Wh , Pin liền",2 kg,không đèn,"Adapter, dây nguồn",G5 Series,G5 ME-51VN263SH,51VN263SH,Đen,"Gaming, Văn phòng, Doanh nghiệp",,Không,,,,,,Bảo hành Pin 12 tháng
