Product name,Price,Brand,CPU Model,RAM size,Storage,Screen size,Battery,CPU Cache Size,CPU Cores,CPU Frequency,NPU,GPU,RAM frequency,RAM slots,RAM type,Audio,Webcam,OS,Ports,Size,Weight,Material,Color,Wireless connection,Keyboard,LED,Security,box,Series laptop,Part-number,Warranty,Refresh rate,Display Resolution,Screen Brightness ,Usage category
Laptop HP ProBook 450 G9,25490000.0,HP,Intel Core i7 1260P,8.0,512.0,15.6,51.0,18MB,12.0,2.1 GHz,,Intel UHD Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C
3 x USB 3.1
Audio combo
1 x HDMI
LAN 1 Gb/s",35.94 x 23.39 x 1.99 cm,1.7 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",không đèn,Vân tay,,ProBook,6M103PA,12 tháng,,1920 x 1080,,basic
Laptop HP X360 830 G9,40990000.0,HP,Intel Core i71255U,8.0,512.0,13.3,51.0,12MB,10.0,1.7 GHz,,Intel UHD Graphics,4800MHz,1.0,DDR5,,HD,Windows 11 Pro,"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI",30.01 x 21.62 x 1.92 cm,1.5 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , LED",,Vân tay,,Elite,6Z963PA,36 tháng,,1920 x 1200,,
Laptop HP Elitebook 630 G9,27790000.0,HP,Intel Core i71255U,16.0,512.0,13.3,42.0,12MB,10.0,1.7 GHz,,Intel Iris Xe Graphics,3200MHz,1.0,DDR4,,HD,Windows 11 Home SL,"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s",30.69 x 20.84 x 1.59 cm,1.3 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , LED",,Vân tay,,Elitebook,6M146PA,12 tháng,,1920 x 1080,,
Laptop HP 14s-dq5053TU,17690000.0,HP,Intel Core i51235U,8.0,512.0,14.0,41.0,12MB,10.0,1.3 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI",32.4 x 22.5 x 1.79 cm,1.4 kg,,Bạc,"WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , LED",,,"Adapter, Dây Nguồn",HP 14s,6R9M6PA,12 tháng,,1366 x 768,250.0,
Laptop HP 14s-dq5052TU,19890000.0,HP,Intel Core i7 1260P,8.0,512.0,14.0,41.0,18MB,12.0,2.1 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI",32.4 x 22.5 x 1.79 cm,1.4 kg,,Bạc,"WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , LED",,,"Adapter, Dây Nguồn",HP 14s,6T6R2PA,12 tháng,,1366 x 768,250.0,
Laptop Asus Zenbook 14 OLED UX3402Z UX3402ZA-KM218W,25490000.0,ASUS,Intel Core i51240P,8.0,512.0,14.0,75.0,12MB,12.0,1.7 GHz,,Intel Iris Xe Graphics,,1.0,LPDDR5,,HD,Windows 11 Home,"1 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI",31.36 x 22.06 x 1.69 cm,1.4 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , LED",,Vân tay,,ZenBook,UX3402ZA-KM218W,24 tháng,90.0,2880 x 1800,550.0,basic
Laptop HP Pavilion 15-eg2055TU,21990000.0,HP,Intel Core i7 1260P,8.0,512.0,15.6,41.0,18MB,12.0,2.1 GHz,,Intel Iris Xe Graphics,3200MHz,2.0,DDR4,HP Audio Boost,HD,Windows 11 Home SL,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI",36.02 x 23.4 x 1.79 cm,1.7 kg,,Vàng,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số",không đèn,,,Pavilion,6K785PA,12 tháng,,1920 x 1080,250.0,
Laptop HP Elite Dragonfly G2,49990000.0,HP,Intel Core i71165G7,16.0,512.0,13.3,38.0,12MB,4.0,2.8 GHz,,Intel Iris Xe Graphics,4266MHz,1.0,LPDDR4,,HD,Windows 11 Pro,"1 x USB 3.1
2 x Thunderbolt 4
Audio combo
1 x HDMI",30.43 x 19.75 x 1.61 cm,1 kg,,Xanh,"WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , không đèn",không đèn,Vân tay,"Adapter, dây nguồn,…",Elite,25W59AV,36 tháng,,1920 x 1080,,
Laptop HP 14s-fq1065AU,17890000.0,HP,AMD Ryzen 5 5500U,8.0,512.0,14.0,,8MB,6.0,2.1 GHz,,AMD Radeon Graphics,3200MHz,2.0,DDR4,,HD,Windows 11 Home,"1 x USB Type C
2 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s",32.4 x 22.5 x 1.79 cm,1.5 kg,,Bạc,"WiFi 802.11ac , Bluetooth 4.2","Bàn phím thường , có phím số , LED",không đèn,,"Adapter, dây nguồn",HP 14s,4K0Z5PA,12 tháng,,1366 x 768,250.0,
Laptop gaming ASUS TUF Gaming FA507RR-HN835W,41090000.0,ASUS,AMD Ryzen 7 6800H,16.0,512.0,15.6,90.0,16MB,8.0,3.2 GHz,,NVIDIA GeForce RTX 3070,4800MHz,1.0,DDR5,Dolby Atmos,HD,Windows 11 Home,"1 x USB Type C / DisplayPort, 1 x USB 3.2 Type C
2 x USB 3.2
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s",35.4 x 25.1 x 2.49 cm,2.2 kg,,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , RGB",,,,TUF Gaming,90NR0B32-M00410,24 tháng,144.0,1920 x 1080,250.0,
Laptop Acer Predator Helios 300 PH315-55-76KG,48490000.0,ACER,Intel Core i712700H,16.0,512.0,15.6,90.0,24MB,14.0,2.3 GHz,,NVIDIA GeForce RTX 3060,4800MHz,2.0,DDR5,,HD,Windows 11 Home SL,"1 x USB Type C / Thunderbolt
3 x USB 3.2
1 x 3.5 mm
1 x HDMI
1 x mini DisplayPort
LAN 1 Gb/s",35.94 x 27.64 x 2.555 cm,2.4 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",,,Cáp + Sạc,Predator,NH.QGPSV.001,12 tháng,165.0,2560 x 1440,,
Laptop HP Pavilion Aero 13-be0229AU,23590000.0,HP,AMD Ryzen 7 5800U,8.0,512.0,13.3,43.0,16MB,8.0,1.9 GHz,,AMD Radeon Graphics,3200MHz,1.0,DDR4,HP Audio Boost,HD,Windows 11 Home,"1 x USB Type C / DisplayPort / Power Delivery
Audio combo
1 x HDMI",29.7 x 20.9 x 1.69 cm,0.9 kg,,Bạc,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , không đèn",không đèn,Vân tay,"Adapter, dây nguồn,…",Pavilion,64U91PA,36 tháng,,1920 x 1080,400.0,
Laptop Asus ROG Strix G15 G513RC-HN038W,26990000.0,ASUS,AMD Ryzen 7 6800HS,8.0,512.0,15.6,56.0,16MB,8.0,3.2 GHz,,NVIDIA GeForce RTX 3050,4800MHz,1.0,DDR5,Smart Amp Technology,,Windows 11 Home,"1 x USB 3.2 Type C
3 x USB 3.2
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s",35.4 x 25.9 x 2.06 ~ 2.59 cm,2.1 kg,,Xám,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , RGB",,,Adapter,ROG,,24 tháng,144.0,1920 x 1080,,
Laptop ASUS TUF Gaming FX506HC-HN144W,21990000.0,ASUS,Intel Core i511400H,8.0,512.0,15.6,48.0,12MB,6.0,2.7 GHz,,NVIDIA GeForce RTX 3050,3200MHz,1.0,DDR4,,HD,Windows 11 Home,"3 x USB 3.2
1 x Thunderbolt 4
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s",35.9 x 25.6 x 2.45 cm,2.3 kg,,Đen,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , RGB",không đèn,,,TUF Gaming,90NR0724-M00FJ0,24 tháng,144.0,1920 x 1080,250.0,Gaming
